open_time,open,high,low,close,volume,RSI,Inverse_Fisher_RSI,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,ADX,Stochastic_%K,Stochastic_%D,ATR,ROC,CCI
2024-11-28 19:00:00+03:00,8.477,8.674,8.426,8.658,11069.38,75.0,0.6182797456194332,0.016466912506711395,-0.03707622835805862,0.053543140864770015,8.738550076384865,8.311350000000001,7.884149923615137,11.312912,10.516044,9.872,9.227956,8.311012,28.23658363968628,97.9381443298969,87.54070941653015,0.21364285714285744,7.686567164179109,117.2911169744948
2024-11-28 23:00:00+03:00,8.658,8.734,8.571,8.631,10440.33,76.2633996937213,0.6166550449770054,0.03212736742539235,-0.023235509201368427,0.055362876626760774,8.75787123186513,8.3168,7.875728768134872,11.312912,10.516044,9.872,9.227956,8.311012,29.66216886809016,87.56038647342999,88.30746637202803,0.20407142857142885,4.15108000482683,132.80091656557474
2024-11-29 03:00:00+03:00,8.636,8.711,8.525,8.633,7870.57,76.35807192042847,0.6146193777741376,0.044190374926634135,-0.009750332375767915,0.05394070730240205,8.795520352248168,8.3323,7.869079647751832,11.312912,10.516044,9.872,9.227956,8.311012,31.0951839874625,87.62254901960773,91.0403599409782,0.200714285714286,4.414610546685999,112.36813213041192
2024-11-29 07:00:00+03:00,8.633,8.689,8.55,8.587,7327.35,71.23176661264183,0.5986221701265741,0.04946833949396989,0.0020934019981796457,0.04737493749579025,8.824160981323951,8.349450000000001,7.874739018676051,11.312912,10.516044,9.872,9.227956,8.311012,33.584864822202434,81.5558343789209,85.57958995731956,0.19914285714285734,2.128924833491916,95.68960327493797
2024-11-29 11:00:00+03:00,8.58,8.827,8.564,8.822,8660.5,77.04011065006927,0.5903023299971719,0.07178619390434271,0.01603196037941226,0.05575423352493045,8.88597932334925,8.367750000000001,7.8495206766507515,11.312912,10.516044,9.872,9.227956,8.311012,35.82206275726905,99.37965260545896,89.51934533466255,0.20664285714285732,4.24199456457521,127.16948067266526
2024-11-29 15:00:00+03:00,8.812,8.893,8.695,8.877,12387.46,73.52472089314205,0.6069656195370926,0.0928410804776636,0.03139378439906253,0.06144729607860107,8.959726013390137,8.3938,7.827873986609865,11.312912,10.516044,9.872,9.227956,8.311012,38.34346979596023,97.93014230271669,92.95520976236553,0.2012857142857145,3.461538461538469,136.74337712351254
2024-11-29 19:00:00+03:00,8.88,8.933,8.74,8.863,9458.3,73.8190552441954,0.6244068743643064,0.107162247103739,0.04654747693999783,0.06061477016374118,9.007355022642475,8.43725,7.867144977357525,11.312912,10.516044,9.872,9.227956,8.311012,40.327107760025896,91.12801013941696,96.14593501586421,0.201857142857143,6.016746411483256,131.83471960256892
2024-11-29 23:00:00+03:00,8.864,8.956,8.844,8.949,6509.78,72.6359832635984,0.643544058930642,0.12402171101757276,0.062042323755512815,0.06197938726205994,9.051835264084614,8.487449999999999,7.923064735915384,11.312912,10.516044,9.872,9.227956,8.311012,42.482364544084916,98.95522388059706,96.00445877424359,0.18964285714285736,7.160819063585186,138.90894196554262
2024-11-30 03:00:00+03:00,8.943,8.99,8.816,8.938,5360.1,70.63423110338849,0.670281313302378,0.13493984700684436,0.07662182840577912,0.05831801860106524,9.074448613435834,8.53715,7.999851386564166,11.312912,10.516044,9.872,9.227956,8.311012,44.35579385258772,92.61363636363643,94.23229012788347,0.19092857142857156,5.301602262016978,127.49732148484297
2024-11-30 07:00:00+03:00,8.943,9.049,8.897,9.04,6052.35,70.24647887323951,0.6903785308454686,0.15009291825762006,0.09131604637614732,0.058776871881472736,9.119427842503525,8.586,8.052572157496476,11.312912,10.516044,9.872,9.227956,8.311012,48.07320172275772,98.82044560943638,96.79643528455664,0.18807142857142864,6.6415005308481625,138.19851195187616
2024-11-30 11:00:00+03:00,9.041,9.1,8.924,9.074,8324.74,87.57894736842131,0.6919774114116686,0.16296677273321158,0.10564619164756017,0.05732058108565141,9.148253920035117,8.637699999999999,8.12714607996488,11.312912,10.516044,9.872,9.227956,8.311012,52.40160984304721,96.80589680589684,96.07999292632321,0.18421428571428575,4.804804804804809,137.7851540889712
2024-11-30 15:00:00+03:00,9.074,9.099,8.914,8.982,12472.31,80.54211035818011,0.679573043347439,0.16385692341655833,0.11728833800135981,0.046568585415198524,9.177073038045611,8.67245,8.167826961954388,11.312912,10.516044,9.872,9.227956,8.311012,57.00704864009737,85.50368550368546,93.71000930633956,0.18535714285714291,4.066736183524494,112.52363152015116
2024-11-30 19:00:00+03:00,8.982,9.287,8.928,9.187,19485.18,81.74386920980933,0.6844830540436234,0.17904029590731163,0.12963872958255018,0.04940156632476145,9.235174367948417,8.718399999999999,8.20162563205158,11.312912,10.516044,9.872,9.227956,8.311012,62.74243276294247,88.38559814169555,90.23172681709264,0.19599999999999998,6.41723618672536,136.5125195982548
2024-11-30 23:00:00+03:00,9.187,9.296,9.096,9.186,16666.12,82.49312557286899,0.6805892096129521,0.18881598323303272,0.1414741803126467,0.047341802920386034,9.29249346231557,8.757299999999999,8.222106537684429,11.312912,10.516044,9.872,9.227956,8.311012,67.47220854158357,87.35632183908051,87.08186849482051,0.19628571428571412,6.97566088272971,137.11487758945393
2024-12-01 03:00:00+03:00,9.184,9.206,8.838,8.961,7513.47,63.34801762114543,0.657841036328499,0.17637453047417573,0.14845425034495252,0.027920280129223207,9.305958321124765,8.7822,8.258441678875235,11.312912,10.516044,9.872,9.227956,8.311012,64.88960088322737,56.549935149157,77.43061837664436,0.20485714285714277,1.575606438449344,71.65943628383687
2024-12-01 07:00:00+03:00,8.961,9.249,8.942,9.17,11202.86,70.46317388003038,0.6408812602088403,0.1812893520394674,0.15502127068385552,0.026268081355611872,9.353652066243248,8.811699999999998,8.269747933756749,11.312912,10.516044,9.872,9.227956,8.311012,61.734539538273275,83.65758754863819,75.85461484562525,0.21514285714285705,3.300664638954593,97.62102142839242
2024-12-01 11:00:00+03:00,9.164,9.28,9.046,9.13,10127.41,68.33948339483402,0.623978689619401,0.17988313700327652,0.1599936439477397,0.019889493055536805,9.365802703026743,8.850200000000001,8.334597296973259,11.312912,10.516044,9.872,9.227956,8.311012,59.80746341237569,77.74798927613956,72.65183732464493,0.21857142857142847,3.012523976080348,99.21595399160161
2024-12-01 15:00:00+03:00,9.131,9.38,9.108,9.337,11724.75,74.73614775725596,0.6012386508398639,0.1932442718096432,0.16664376952012042,0.026600502289522793,9.402529349358316,8.8995,8.396470650641684,11.312912,10.516044,9.872,9.227956,8.311012,58.28147194948841,94.73039215686262,85.37865632721348,0.22807142857142854,4.335679964241813,127.1211915649803
2024-12-01 19:00:00+03:00,9.334,9.381,9.174,9.223,6115.9,64.3727598566309,0.5733369284223264,0.19241616635241243,0.17179824888657882,0.020617917465833607,9.419711586129878,8.93625,8.45278841387012,11.312912,10.516044,9.872,9.227956,8.311012,55.901615841140654,76.96793002915459,83.1487704873856,0.22407142857142862,3.1886328037592317,114.99198515143844
2024-12-01 23:00:00+03:00,9.222,9.597,9.12,9.467,27919.34,68.62373737373741,0.5667383782161092,0.2090389764203664,0.17924639439333634,0.029792582027030057,9.473930671904482,8.98575,8.497569328095517,11.312912,10.516044,9.872,9.227956,8.311012,53.96067962484807,84.83080513418913,85.50970910673546,0.24400000000000002,4.7234513274336445,146.4726960335494
2024-12-02 03:00:00+03:00,9.469,9.564,9.188,9.191,11431.1,58.88407367280612,0.5536900052795798,0.19766324098733534,0.18292976371213615,0.014733477275199192,9.483127276053885,9.0124,8.541672723946114,11.312912,10.516044,9.872,9.227956,8.311012,51.786023161766536,48.01536491677344,69.93803336003906,0.25707142857142856,1.289398280802302,111.4608198508833
2024-12-02 07:00:00+03:00,9.191,9.388,9.071,9.316,20541.14,59.73474801061013,0.5403178396281122,0.19646956518097447,0.1856377240059038,0.010831841175070661,9.499888765936262,9.04665,8.593411234063737,11.312912,10.516044,9.872,9.227956,8.311012,48.85208431553012,64.02048655569791,65.62221886888683,0.27171428571428574,3.7185482075261795,83.01247124349175
